product_id,months_included,n_rows,actual_total,pred_total,mae,rmse,smape,wape,bias_ratio
LC405,6,6,1343.0,485.7543750715116,142.87427082141474,166.2850470599891,0.9195809471908488,0.638306496596045,-0.638306496596045
LC209,6,6,1033.0,299.67772397149,140.73845574793094,196.88807394236508,1.4104305627666125,0.8174547284487761,-0.7098957173557695
LC207,6,6,980.0,329.40857114456173,125.25889482002613,167.68994691590066,1.0147426744567143,0.7668911927756702,-0.6638688049545289
LC205,6,6,974.0,360.4114351509441,102.50554456324676,116.26686248344083,0.8711889886016642,0.6314509932027521,-0.6299677257177166
LC983,6,6,907.0,378.62884676598264,102.59535847484851,127.83584360165773,1.0513039366391703,0.6786903537476197,-0.5825481292547049
LC240,6,6,826.0,204.38545618698072,103.7274523758756,120.13213285680452,1.0392383349740069,0.7534681770644717,-0.7525599804031711
LC555,6,6,812.0,451.9082492139966,67.08969432219426,75.41171886593642,0.7153303252501688,0.49573665755315954,-0.4434627472734032
LC301,6,6,778.0,389.4701242033978,77.53756965447062,99.58791648938279,0.8599272634068177,0.597976115587177,-0.49939572724499
LC107,6,6,756.0,436.6188143245247,55.45123720509421,60.61820049021431,0.615622699536977,0.4400891841674144,-0.42246188581412075
LC324,6,6,738.0,304.72201054225195,81.23685631227157,99.3148273955554,0.9792756200894117,0.6604622464412322,-0.5870975466907156
LC302,6,6,715.0,210.4290524716112,84.09515792139814,87.69236853893169,1.1034233337612684,0.7056936329068375,-0.7056936329068375
LC821,6,6,703.0,260.39557269522624,101.55521164145865,127.71688097390299,1.1663969311544642,0.8667585630849957,-0.6295937799498915
LC219,6,6,697.0,295.9295384062878,88.79164010974188,104.88161960101438,1.1465080088923736,0.764346973685009,-0.5754239047255555
LC420,6,6,685.0,268.45325193816217,70.57451035932168,85.00359360141519,0.843216867722374,0.618170893658292,-0.6080974424260406
LC213,6,6,667.0,285.7290836704586,91.10158047147418,110.9761389007404,1.2010080079668524,0.8195044720072641,-0.5716205642122061
LC311,6,6,656.0,134.27608431537112,86.95398594743817,97.94761384701646,1.211069390124145,0.7953108470802271,-0.7953108470802271
LC127,6,6,655.0,396.9639367316931,64.49693202273633,79.71012235819836,0.7380235573792144,0.5908115910479664,-0.39394818819588845
LC235,6,6,646.0,210.65301736142996,79.10160193509196,88.5952456017992,1.1511576610433465,0.7346898012547242,-0.6739117378306039
LC552,6,6,636.0,417.128517640091,75.9146517802526,87.73235476725506,0.8584344956729263,0.7161759601910622,-0.34413755088036013
LC214,6,6,634.0,338.00410885251415,95.01169865885771,110.4941640800841,1.2152975585255803,0.8991643406201045,-0.466870490768905
LC944,6,6,632.0,337.283094406728,84.75488835694746,110.632370308602,0.8991363307343473,0.8046350160469695,-0.4663242177108734
LC125,6,6,609.0,301.5020730108754,56.52829546766606,61.234949798584005,0.7733795156038393,0.5569290193858726,-0.5049227044156397
LC529,6,6,608.0,124.87684575747886,82.38951834576558,101.95324685773565,1.1777171536261812,0.8130544573595287,-0.7946104510567783
LC1027,6,6,600.0,6.587213201057455,101.0306099581327,244.87377713441182,1.9997758790082993,1.010306099581327,-0.9890213113315711
LC954,6,6,591.0,380.57516384326897,43.05974508184388,50.23277151641682,0.6019192043032003,0.43715477240450634,-0.356048792143369
LC939,6,6,584.0,219.4505773891839,60.75823710180268,63.45166484963952,0.9439193930504436,0.6242284633746851,-0.6242284633746851
LC223,6,6,580.0,165.95362048606168,82.94329646012253,105.27654915256961,1.3311201914426565,0.8580341013116123,-0.7138730681274799
LC409,6,6,579.0,286.25779765318146,56.952770794053684,68.89170337731397,0.9661379557296846,0.5901841533062557,-0.5055996586300838
LC224,6,6,571.0,212.98427272152844,62.133854159830776,74.18576838913555,0.86075203428096,0.6528951400332481,-0.6269977710656245
LC212,6,6,567.0,146.85671525734116,74.35746524505645,92.47231361215012,1.1781087882969024,0.7868514840746714,-0.7409934475179168
LC571,6,6,566.0,347.0131409728675,60.08810539016557,76.4506327233042,0.8611270260403883,0.6369763822279036,-0.3869025777864533
LC206,6,6,562.0,338.2423259402301,60.50566464986199,77.31177812615992,0.8830353281907146,0.6459679499985266,-0.3981453275084874
LC326,6,6,557.0,98.25153185504348,76.45807802415942,93.99131022919772,1.2202704404494453,0.823605867405667,-0.823605867405667
LC201,6,6,555.0,238.36391289125396,57.18321671546641,73.57900371834057,0.815044434463234,0.6181969374645017,-0.5705154722680109
LC148,6,6,539.0,100.64656132003012,74.43279823380907,94.86385492213654,1.204938391559023,0.8285654719904534,-0.813271685862653
LC572,6,6,539.0,108.67561800496941,82.3001119063041,111.76298869830853,1.550242765077564,0.9161422475655372,-0.7983754767996856
LC522,6,6,530.0,280.41278371284164,52.759250762054485,64.61943730024075,0.78017450112806,0.5972745369289187,-0.4709192760135063
LC988,6,6,519.0,173.5954074970317,63.86030442933991,83.9903292111126,1.0932297770266957,0.7382694153680914,-0.6655194460558157
LC234,6,6,510.0,157.8737425303525,63.07745202119151,78.1533066469289,1.040047274785486,0.7420876708375472,-0.6904436420973479
