product_id,y_true_2019-06,y_true_2019-07,y_true_2019-08,y_true_2019-09,y_true_2019-10,y_true_2019-11,y_pred_2019-06,y_pred_2019-07,y_pred_2019-08,y_pred_2019-09,y_pred_2019-10,y_pred_2019-11
103101,2.0,5.0,0.0,0.0,0.0,0.0,2.569966462786467,1.5509249294710894,0.6467093147132386,2.526862454953707,0.8165534910839487,0.3852425599911122
103102,0.0,2.0,0.0,0.0,0.0,0.0,3.0773550469198736,2.2055576913276087,1.011646579377605,1.624444143750849,1.104479891720182,0.7446896522565633
103110,0.0,2.0,0.0,0.0,0.0,0.0,3.588027601743959,3.144994450618141,0.8466524245770305,3.1521284318075127,0.947084622501807,0.5834912645733211
103111,0.0,2.0,0.0,0.0,0.0,0.0,2.8014565623067917,2.695363242379809,0.5994087636398692,1.0368582588843676,0.5997790717955427,0.4505832275698089
103123,0.0,0.0,0.0,0.0,0.0,0.0,0.696455970236926,0.6706017658512079,0.1077320582646756,0.2348576109892153,0.214571238691956,0.1370958598489579
103125,2.0,4.0,0.0,0.0,0.0,0.0,3.192654665162865,2.56240200205411,1.2839369946826926,2.279357426461207,1.0875562548761173,0.6611402574036294
103133,2.0,2.0,0.0,0.0,0.0,0.0,1.3990884009285909,1.3229349256531933,0.8060252384411986,2.9144754084288125,0.9395424053700532,0.6715121017903257
103144,0.0,2.0,0.0,0.0,0.0,0.0,0.3210012368362397,0.3309579995919912,0.156164609392015,0.315528732054779,0.2684629366489368,0.1694348239671033
103148,0.0,0.0,0.0,0.0,0.0,0.0,2.532028460543003,2.0543271590302603,0.3994651371740665,1.1848602587849584,0.487056700605125,0.2177029123784096
103149,0.0,0.0,0.0,0.0,0.0,0.0,2.6341838093584835,2.121611268239125,0.4199161619219001,1.2130854905541075,0.5089134243235884,0.2177029123784096
103153,2.0,4.0,2.0,0.0,0.0,0.0,3.258438310099972,2.1788130873173395,0.9550966208419562,4.099381278451991,1.3180267978151696,1.0181118708140129
103154,5.0,0.0,0.0,0.0,0.0,0.0,1.7320238300159705,1.3033210980852683,0.5624558982105917,2.360285691190055,0.5529079382134997,0.3233667403675415
103202,0.0,0.0,0.0,0.0,0.0,0.0,2.9017554688530893,2.4533616827008977,0.512121277970472,1.077677746534402,0.5580529451744262,0.3240672331338255
103203,0.0,4.0,0.0,0.0,0.0,0.0,2.8844047565018065,2.8210993055222966,0.5723329741306392,1.2327666521437337,0.7694911595112316,0.3240672331338255
103206,0.0,2.0,0.0,0.0,0.0,0.0,3.345518571654752,2.576370080672013,0.6515858737505738,1.1436007619033937,0.703711987393672,0.3119552791141285
103209,0.0,0.0,0.0,0.0,0.0,0.0,2.5595904087256867,2.844688135398078,0.850902346430847,1.555513769201621,0.8870644190330855,0.6549385935931981
103213,0.0,0.0,0.0,0.0,0.0,0.0,2.6147443005016724,1.8450537281319348,0.4547402164158626,1.1848602587849584,0.5371958176359626,0.3119552791141285
103227,0.0,0.0,0.0,0.0,0.0,0.0,1.2488662094676095,1.3549502537413882,0.2408487472610888,0.6051879596342298,0.3580190842239576,0.2177029123784096
103309,0.0,0.0,2.0,0.0,0.0,0.0,3.215777201503633,3.080991340877029,0.4655285350137392,1.3244463222869742,0.703711987393672,0.4086529757610959
103314,0.0,0.0,0.0,0.0,0.0,0.0,2.772057577398192,2.6077212012296336,0.4130305589385288,1.169161030043152,0.6354225609674159,0.3510150060374191
103316,5.0,2.0,0.0,0.0,0.0,0.0,2.775677204228157,1.7371281926986757,0.6814373530616336,2.3302964403297333,1.0892503997269651,0.9412415775779552
103324,0.0,0.0,0.0,0.0,0.0,0.0,3.345518571654752,2.8210993055222966,0.5125291630860342,1.2130854905541075,0.532214585854786,0.3119552791141285
103336,0.0,4.0,0.0,0.0,0.0,0.0,2.6341838093584835,2.121611268239125,0.4573043845118566,1.2327666521437337,0.7694911595112316,0.3090626252631221
103407,0.0,2.0,2.0,0.0,0.0,0.0,2.6281304839045347,2.222018600656936,0.5994087636398692,1.809177126615816,0.8957452552261911,0.3455316439691718
103424,0.0,2.0,2.0,0.0,0.0,0.0,1.2488662094676095,1.3549502537413882,0.4072367306595982,1.840219398621651,0.9884830400041104,0.3693139243689401
103520,0.0,4.0,2.0,0.0,0.0,0.0,2.362743094508833,2.423186720419003,0.6320743974262304,1.6879336701556438,0.9678737917646376,0.375945571717339
103528,0.0,0.0,0.0,0.0,0.0,0.0,2.388003703340106,1.769399473885413,0.3994651371740665,1.2854421881430174,0.487056700605125,0.2177029123784096
103530,0.0,4.0,0.0,0.0,0.0,0.0,3.4152837476056663,3.037565648889577,0.7246587869253424,1.4758063745169347,0.7739926914533647,0.3240672331338255
103557,0.0,0.0,0.0,0.0,0.0,0.0,1.8114160936700625,1.9288459051298603,0.6061286637990592,1.1642124086541512,0.5487715481822949,0.2790702134421178
103558,2.0,6.0,2.0,0.0,0.0,0.0,2.797052286170252,2.4264511959027724,0.59231725180434,2.213599628009169,1.094781712627369,0.386624542680742
103560,0.0,0.0,0.0,0.0,0.0,0.0,3.3086325520693944,2.695363242379809,0.5994087636398692,1.2812796272464058,0.6618045833498375,0.3843169040787542
103570,2.0,0.0,0.0,0.0,0.0,0.0,3.400717623389169,2.42878746738919,0.8318446099580643,1.429056939015485,1.0371522497769223,0.6938018640542936
103571,2.0,2.0,0.0,0.0,3.0,0.0,2.922081964218775,2.695363242379809,0.6484218118245779,1.7279585905361907,0.6425791441523103,0.4768785803523452
103706,3.0,0.0,0.0,2.0,0.0,0.0,1.871571274469891,2.3348616162257625,0.8367386761227439,1.8224580163815884,0.9193204393717628,0.600962284331057
103719,0.0,2.0,0.0,0.0,0.0,0.0,2.966163837103104,2.121611268239125,0.6596307868606084,1.1577204184716452,0.703711987393672,0.3193865436783018
103720,0.0,2.0,0.0,0.0,0.0,0.0,1.879465792742956,1.961139997491354,0.6596307868606084,1.1577204184716452,0.703711987393672,0.2878268035722775
103830,0.0,4.0,2.0,0.0,0.0,0.0,0.3210012368362397,0.3309579995919912,0.1730418442917488,1.2648722298122148,0.8333505054639685,0.2763767180694615
103837,5.0,2.0,2.0,0.0,0.0,0.0,3.722469494892693,2.554404935121304,1.1314155401960415,3.5428617587762643,1.8659828031709744,0.793230732728363
103840,0.0,2.0,0.0,0.0,0.0,0.0,3.467839209221677,2.4752470029243394,0.8466524245770305,3.1521284318075127,0.8956414979872612,0.4958586558383056
103845,0.0,4.0,0.0,0.0,0.0,0.0,0.3210012368362397,0.3309579995919912,0.1730418442917488,0.2863977906334374,0.2502341557448586,0.147646270111653
103851,0.0,0.0,0.0,0.0,0.0,0.0,1.879465792742956,1.961139997491354,0.4244603510812637,1.2854421881430174,0.487056700605125,0.2177029123784096
103856,0.0,4.0,0.0,0.0,0.0,0.0,1.2488662094676095,1.3549502537413882,0.4573043845118566,1.2327666521437337,0.7205913658871596,0.2734860386565981
103857,0.0,6.0,0.0,2.0,0.0,0.0,2.2006361648471606,1.8518404208686785,0.6157985117562234,2.2801844250632826,0.8174034141219514,0.5771429625693364
103871,0.0,0.0,0.0,10.0,3.0,0.0,2.6341838093584835,1.9375623479854436,0.4199161619219001,1.2130854905541075,1.131127560361599,0.5575027718813038
103874,0.0,0.0,0.0,0.0,0.0,0.0,1.2497175989405165,1.2744230734142008,0.313906974271433,0.9225702757918932,0.3987217991833193,0.2243302173398801
103877,0.0,4.0,0.0,0.0,0.0,0.0,2.775677204228157,2.7405076318648955,0.508611524233331,1.5595196277075265,0.9120448078024112,0.5814524722142607
103894,6.0,4.0,0.0,0.0,0.0,0.0,2.0980520514971874,1.7094970035145147,1.4497608522206211,3.235142762969743,1.5140386609965282,0.7551584897690741
103941,0.0,2.0,0.0,0.0,0.0,0.0,0.4382221132508198,0.3011071479021801,0.2824444806153868,0.8236507861858205,0.4732553427741882,0.2690559341223019
103944,0.0,7.0,0.0,0.0,0.0,0.0,5.730864270290391,3.824709690887619,3.9390500122715664,4.916692570479627,2.1593496588575114,1.0635797300184398
103945,0.0,0.0,6.0,0.0,0.0,0.0,2.295118652221677,2.449582262258554,0.4984863924524319,1.6805580093465642,0.8796926835422245,0.3882237554802086
103954,5.0,13.0,0.0,10.0,0.0,0.0,7.994471334006553,8.562690206386876,4.534599477319422,3.704065203854113,2.761418922501379,1.4993375128528927
103966,0.0,2.0,0.0,0.0,0.0,0.0,1.87361876132378,2.792315860741076,0.9974419201479412,2.062729784486129,0.991197775099072,0.6798549989794852
103968,5.0,7.0,2.0,0.0,0.0,0.0,2.4127889937663345,1.9973393726858848,0.5523613290940552,2.3018359858401607,1.162159738532953,0.5580679837344584
104737,0.0,0.0,0.0,0.0,0.0,0.0,0.428140047970306,0.2439176428947672,0.1639249265908354,0.3442191650815182,0.4386772656790453,0.3126680371225698
104738,0.0,0.0,0.0,0.0,0.0,0.0,0.472820972451812,0.3449740183159598,0.1977821380845609,0.4174930112006227,0.3988619318044935,0.3470414963754191
104739,0.0,0.0,0.0,0.0,0.0,0.0,0.4986593984432866,0.227689314941663,0.1530186738211155,0.3167621215037213,0.3931584719284855,0.2802244322046263
104740,0.0,0.0,0.0,0.0,0.0,0.0,0.5295448477295933,0.8134495465281635,0.5529568495180498,1.7072913882907348,0.5081938805972621,0.4050461144263696
104741,0.0,0.0,0.0,0.0,0.0,0.0,0.5295448477295933,0.8134495465281635,0.5529568495180498,1.7072913882907348,0.5081938805972621,0.4050461144263696
104742,0.0,0.0,0.0,0.0,0.0,0.0,0.472820972451812,0.3449740183159598,0.1977821380845609,0.4174930112006227,0.3988619318044935,0.3470414963754191
104743,0.0,0.0,0.0,0.0,0.0,0.0,0.472820972451812,0.3449740183159598,0.1977821380845609,0.4174930112006227,0.3988619318044935,0.3470414963754191
104830,0.0,0.0,0.0,0.0,0.0,0.0,0.3210012368362397,0.3309579995919912,0.1021351030250195,0.2017767261305709,0.2156923683119547,0.1378121824567447
104901,0.0,0.0,0.0,0.0,0.0,0.0,0.472820972451812,0.3449740183159598,0.1977821380845609,0.4174930112006227,0.3988619318044935,0.3470414963754191
104906,2.0,0.0,3.0,0.0,0.0,0.0,0.472820972451812,2.177146149474769,0.5143417949047496,1.5813347783274512,1.9833682862160853,1.3234247748247918
104907,0.0,0.0,3.0,0.0,0.0,0.0,0.472820972451812,0.3449740183159598,0.1977821380845609,2.000456973150281,2.212506932271598,1.476320111090462
104957,0.0,0.0,0.0,0.0,0.0,0.0,0.3210012368362397,0.3309579995919912,0.1021351030250195,0.2017767261305709,0.2156923683119547,0.1378121824567447
AK101,0.0,0.0,0.0,0.0,0.0,0.0,0.3210012368362397,0.3309579995919912,0.1021351030250195,0.2017767261305709,0.2156923683119547,0.1378121824567447
AK106,0.0,0.0,0.0,0.0,0.0,0.0,0.3210012368362397,0.3309579995919912,0.1021351030250195,0.2017767261305709,0.2156923683119547,0.1378121824567447
AK110,0.0,0.0,0.0,0.0,0.0,0.0,0.3210012368362397,0.3309579995919912,0.1021351030250195,0.2017767261305709,0.2156923683119547,0.1378121824567447
AK115,0.0,0.0,0.0,0.0,0.0,0.0,0.3210012368362397,0.3309579995919912,0.1021351030250195,0.2017767261305709,0.2156923683119547,0.1378121824567447
AK119,0.0,0.0,0.0,0.0,0.0,0.0,0.3210012368362397,0.3309579995919912,0.1021351030250195,0.2017767261305709,0.2156923683119547,0.1378121824567447
AK126,0.0,0.0,0.0,0.0,0.0,0.0,0.3210012368362397,0.3309579995919912,0.1021351030250195,0.2017767261305709,0.2156923683119547,0.1378121824567447
AK127,0.0,0.0,0.0,0.0,0.0,0.0,0.3210012368362397,0.3309579995919912,0.1021351030250195,0.2017767261305709,0.2156923683119547,0.1378121824567447
AK133,0.0,0.0,0.0,0.0,0.0,0.0,0.3210012368362397,0.3309579995919912,0.1021351030250195,0.2017767261305709,0.2156923683119547,0.1378121824567447
AK135,0.0,0.0,0.0,0.0,0.0,0.0,0.3210012368362397,0.3309579995919912,0.1021351030250195,0.2017767261305709,0.2156923683119547,0.1378121824567447
AK150,0.0,0.0,0.0,0.0,0.0,0.0,0.3210012368362397,0.3309579995919912,0.1021351030250195,0.2017767261305709,0.2156923683119547,0.1378121824567447
AK151,0.0,0.0,0.0,0.0,0.0,0.0,0.3210012368362397,0.3309579995919912,0.1021351030250195,0.2017767261305709,0.2156923683119547,0.1378121824567447
